Fiscal Year,Fiscal Week,Need State 1,Need State 2,Need State 3,Need State 4,Need State 5
2023,11,308736,129294,163649.25,335752.5,547003.5
2023,12,1049037.75,621302.25,218181.75,453015.75,791797.5
2023,13,645898.5,514803,385325.25,466305,700515.75
2023,14,1002380.25,257869.5,194237.25,285252.75,162457.5
2023,15,1767828.75,517135.5,359034,421256.25,1151739
2023,16,176432.25,394596,336595.5,367767.75,840242.25
2023,17,269017.5,289171.5,483687,368679.75,787181.25
2023,18,206453.25,416315.25,472200,413159.25,351789
2023,19,390882.75,464193,327549.75,458248.5,481986.75
2023,20,1487977.5,375784.5,217059.75,291272.25,203718
2023,21,698655.75,361045.5,276441,364135.5,638432.25
2023,22,746046.75,437103,278223.75,386433.75,306576
2023,23,999733.5,400559.25,216627.75,553309.5,325687.5
2023,24,531712.5,248578.5,244434,288504,1348201.5
2023,25,377751,384285.75,635149.5,423143.25,562329.75
2023,26,250761,396233.25,495052.5,365324.25,355639.5
2023,27,1204352.25,282381,298498.5,278976,588289.5
2023,28,367971,472785,344888.25,452683.5,571829.25
2023,29,868491.75,386856.75,351816.75,458682,613476.75
2023,30,770667,602944.5,543558,445416.75,547067.25
2023,31,557550.75,392298.75,406000.5,556152.75,360810
2023,32,483608.25,282449.25,215514,289188.75,714004.5
2023,33,433434,259446.75,217524.75,464343,1046736
2023,34,724118.25,877786.5,512045.25,644532.75,532166.25
2023,35,330154.5,535204.5,385449,552603,351393
2023,36,348156.75,529875.75,249826.5,212412.75,491935.5
2023,37,310632,622177.5,530941.5,438662.25,586676.25
2023,38,456982.5,570400.5,355029,432406.5,492169.5
2023,39,436667.25,373893.75,199078.5,460226.25,642145.5
2023,40,356974.5,296038.5,301844.25,359041.5,628323.75
2023,41,550887,221686.5,121078.5,240855.75,600489
2023,42,905002.5,523613.25,377325.75,529374.75,1061086.5
2023,43,196313.25,17168.25,19847.25,22635,73047
2023,46,0,0,0,0,0
2023,50,0,0,0,0,0
