,,Fiscal Year,Fiscal Year,Fiscal Year
Need State 3,47,287940,301569.75,0
Need State 3,48,407856,405353.25,0
Need State 3,49,246740.25,313395,0
Need State 3,50,364957.5,405828.75,0
Need State 3,51,383296.5,382609.5,0
Need State 3,52,249810.75,364111.5,0
Need State 4,1,451255.5,416754,424666.5
Need State 4,2,472152.75,473402.25,443360.25
Need State 4,3,465115.5,432791.25,430446
Need State 4,4,401831.25,382820.25,345584.25
Need State 4,5,501825.75,498989.25,563610
Need State 4,6,423258,402324,348691.5
Need State 4,7,420210.75,427413.75,428863.5
Need State 4,8,457369.5,390536.25,384984.75
Need State 4,9,441514.5,409771.5,411399
Need State 4,10,361330.5,351147,430935.75
Need State 4,11,431964,404808,409077.75
Need State 4,12,362648.25,359508,387983.25
Need State 4,13,473433.75,469857.75,414111.75
Need State 4,14,434118,410714.25,392545.5
Need State 4,15,470531.25,444729.75,415935
Need State 4,16,602490,387538.5,414772.5
Need State 4,17,451764.75,427175.25,446573.25
Need State 4,18,399734.25,352068,402546.75
Need State 4,19,428429.25,385224,397827
Need State 4,20,382415.25,373661.25,401926.5
Need State 4,21,413962.5,382512.75,396840
Need State 4,22,381732.75,412912.5,387147
Need State 4,23,424536.75,454620,415022.25
Need State 4,24,403641,455523.75,427945.5
Need State 4,25,373848.75,348743.25,356530.5
Need State 4,26,384365.25,434420.25,383082
Need State 4,27,383634,419122.5,392626.5
Need State 4,28,407671.5,411924.75,402841.5
Need State 4,29,412947,401744.25,392454
Need State 4,30,379473.75,373125.75,384915
Need State 4,31,416781,438981.75,457410
Need State 4,32,397534.5,391185,422901
Need State 4,33,373126.5,447205.5,408390.75
Need State 4,34,438381,450958.5,445827
Need State 4,35,492462,412478.25,420930.75
Need State 4,36,397526.25,414355.5,389948.25
Need State 4,37,499152,425793,435971.25
Need State 4,38,420957,429482.25,495011.25
Need State 4,39,482850.75,458910,417241.5
Need State 4,40,417054,471364.5,417587.25
Need State 4,41,403581.75,411277.5,418831.5
Need State 4,42,433433.25,444291,0
Need State 4,43,470436,433250.25,0
Need State 4,44,393473.25,454506.75,0
Need State 4,45,464336.25,433278,0
Need State 4,46,445491,458328.75,0
Need State 4,47,415181.25,406249.5,0
Need State 4,48,398274.75,430667.25,0
Need State 4,49,428171.25,441932.25,0
Need State 4,50,438303,475593.75,0
Need State 4,51,506939.25,422003.25,0
Need State 4,52,299879.25,351908.25,0
Need State 5,1,15795,28734.75,89032.5
Need State 5,2,11154.75,20072.25,62028
Need State 5,3,10549.5,19849.5,64474.5
Need State 5,4,10443,23655.75,66874.5
Need State 5,5,12430.5,22807.5,66686.25
